ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/scm_norsca	
hkrul_soren_sack	wh3_dlc23_crooked_dice
hkrul_soren_sack_2	wh3_dlc23_crooked_dice
hkrul_summon_nightmaw	wh_main_all_summoned_unit_single_use
hkrul_summon_nightmaw	hkrul_summon_nightmaw
hkrul_birna_bow	wh2_main_all_magical_damage_major
hkrul_birna_bow	wh3_main_projectile_requires_line_of_sight
hkrul_birna_bow	wh_main_all_good_vs_large
hkrul_birna_bow	wh_main_all_strong_against_single
hkrul_birna_bow	wh_main_projectile_effective_long_range
rhox_fc_norsca_summon_raven	wh_main_all_summoned_unit_single_use
rhox_fc_norsca_raven	wh2_dlc12_refuse_to_die
hkrul_drenok_wolf	wh_main_all_summoned_unit_single_use
hkrul_drenok_wolf	hkrul_drenok_summon_wolf
hkrul_drenok_breath	wh_main_vortex_large_breath_short
hkrul_einar_steelfist	wh_main_bombardment_small_strike_aoe
hkrul_einar_fury	wh3_dlc23_ability_intensity_damage_taken
