ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_late_frost	
hkrul_mortensen_shield	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_geimdall_helm	wh3_dlc23_ability_intensity_damage_taken
hkrul_geimdall_command	hkrul_geimdall_command
hkrul_norsca_axe_5	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_norsca_shield_3	wh_main_all_replenish
hkrul_norsca_axe_4	wh_dlc08_direct_damage_character_unit
hkrul_norsca_axe_4	wh_main_all_direct_damage
hkrul_norsca_axe_4	wh_main_all_strong_against_single
hkrul_norsca_axe_4	wh_main_all_weak_against_multiple
hkrul_bubos_breath	wh_main_all_strong_against_unit
hkrul_bubos_breath	wh_main_projectile_powerful_explosion
hkrul_bubos_eye	wh_main_all_direct_damage
hkrul_bubos_eye_weak	wh_main_all_direct_damage
hkrul_grydal_hand	wh_main_all_direct_damage
