ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/!dead_scm_longships	
scm_longship_mists	wh_main_all_direct_damage
scm_longship_mists_bjornling	wh_main_all_direct_damage
scm_longship_geimdall_storm	wh2_main_all_good_against_armour
scm_longship_geimdall_storm	wh2_main_all_huge_static_aoe
scm_longship_geimdall_storm	wh2_main_all_magical_damage_massive
scm_longship_geimdall_storm	wh_main_all_strong_against_units
scm_longship_geimdall_storm	wh_main_bombardment_large_strike_aoe
hkrul_longship_spawn	hkrul_longship_spawn
hkrul_longship_spawn2	hkrul_longship_spawn2
hkrul_longship_kraken	wh2_main_all_good_against_armour
hkrul_longship_kraken	wh2_main_spell_stationary_aoe
hkrul_longship_kraken	wh_main_all_strong_against_units
hkrul_longship_denizens	wh2_dlc11_summon_rotting_prometheans
hkrul_longship_denizens	wh_main_all_direct_damage_unbinding
hkrul_birna_bomb	wh_main_all_strong_against_multiple
