order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/hkrul_scm_norsca_anc					
1	hkrul_norsca_enchanted_1	false	false	true	hkrul_norsca_enchanted_1
1	hkrul_norsca_enchanted_2	false	false	true	hkrul_norsca_enchanted_2
1	hkrul_norsca_shield_1	true	true	false	hkrul_norsca_shield_1
1	hkrul_norsca_shield_2	true	false	false	hkrul_norsca_shield_2_pas
1	hkrul_norsca_helmet_2	true	true	false	hkrul_norsca_helmet_2_pas
1	hkrul_norsca_helmet_2	true	false	false	hkrul_norsca_helmet_2_1
2	hkrul_norsca_helmet_2	true	false	false	hkrul_norsca_helmet_2_2
3	hkrul_norsca_helmet_2	true	false	false	hkrul_norsca_helmet_2_3
1	hkrul_norsca_sword_4	false	false	true	hkrul_norsca_sword_4
1	hkrul_norsca_sword_1	true	false	false	hkrul_norsca_sword_1
1	hkrul_norsca_sword_3	true	true	false	hkrul_norsca_sword_3
1	hkrul_norsca_axe_2	true	true	false	hkrul_norsca_axe_2
1	hkrul_norsca_axe_3	true	false	false	hkrul_norsca_axe_3
