order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/hkrul_nor_surp					
1	hkrul_olg_helm	false	true	false	hkrul_olg_helm
1	hkrul_olg_axe	true	false	false	hkrul_olg_axe
1	hkrul_tuula_rally	true	true	false	hkrul_tuula_rally
1	hkrul_haftagg_shield	true	false	false	hkrul_haftagg_shield
1	hkrul_haftagg_roar	false	false	true	hkrul_haftagg_roar
1	hkrul_olaf_rally	false	false	true	hkrul_olaf_rally
1	hkrul_olaf_retinue	true	true	false	hkrul_olaf_retinue
1	hkrul_olaf_helm	true	false	false	hkrul_olaf_helm
1	hkrul_tuula_bound	false	true	false	hkrul_tuula_bound
1	hkrul_tuula_axe	true	false	false	hkrul_tuula_axe
1	hkrul_boartusk_helm	true	false	false	hkrul_boartusk_helm
0	hkrul_boartusk_helm_weak	true	false	false	hkrul_boartusk_helm
1	hkrul_eyri_axe	true	false	false	hkrul_eyri_axe
1	hkrul_eyri_raiders	true	false	false	hkrul_eyri_raiders
1	hkrul_eyri_cash	true	true	false	hkrul_eyri_cash
1	hkrul_eyri_ring	true	false	false	hkrul_eyri_ring
1	hkrul_hafskael_shield	false	true	false	hkrul_hafskael_shield
1	hkrul_hafskael_axe	true	false	false	hkrul_hafskael_axe
1	hkrul_orgrim_axe	true	false	false	hkrul_orgrim_axe
1	hkrul_usta_gaze	false	false	true	hkrul_usta_gaze
1	hkrul_kammler_time	true	false	false	hkrul_kammler_time
1	hkrul_kammler_hand	true	true	false	hkrul_kammler_hand
1	hkrul_hafskael_ship_buff	true	false	false	hkrul_hafskael_ship_buff
1	hkrul_oda_shield2	true	true	false	hkrul_oda_shield2
1	hkrul_goftur_sword	true	false	false	hkrul_goftur_sword
1	hkrul_goftur_children	true	false	false	hkrul_goftur_children
0	hkrul_goftur_avatar	true	false	false	hkrul_goftur_avatar
1	hkrul_festerheart	true	false	false	hkrul_festerheart
