order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/hkrul_adella					
1	hkrul_adella_sword	true	false	false	hkrul_adella_sword
1	hkrul_soren_sack	true	true	false	hkrul_soren_sack_1
2	hkrul_soren_sack	true	true	false	hkrul_soren_sack_2
3	hkrul_soren_sack	true	true	false	hkrul_soren_sack_3
4	hkrul_soren_sack	true	true	false	hkrul_soren_sack_4
1	hkrul_soren_sack_2	true	true	false	hkrul_soren_sack_2_1
2	hkrul_soren_sack_2	true	true	false	hkrul_soren_sack_2_2
3	hkrul_soren_sack_2	true	true	false	hkrul_soren_sack_2_3
4	hkrul_soren_sack_2	true	true	false	hkrul_soren_sack_2_4
