unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/hkrul_birna	
hkrul_sarl_hunters	wh3_dlc20_group_chs_azazel
hkrul_sarl_hunters	wh3_dlc20_group_chs_festus
hkrul_sarl_hunters	wh3_dlc20_group_chs_valkia
hkrul_sarl_hunters	wh3_dlc20_group_chs_vilitch
hkrul_sarl_hunters	wh3_main_group_belakor
hkrul_sarl_hunters	wh3_main_rogue_the_challenge_stone_pact
hkrul_sarl_hunters	wh_main_group_chaos
hkrul_sarl_hunters	wh_main_group_norsca
hkrul_sarl_hunters	wh_main_group_norsca_steppe
