unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/hkrul_nor_surp	
hkrul_olg	wh_main_group_norsca
hkrul_olg_chariot	wh_main_group_norsca
hkrul_tuula	wh_main_group_norsca
hkrul_haftagg	wh_main_group_norsca
hkrul_olaf_chariot	wh_main_group_norsca
hkrul_olaf	wh_main_group_norsca
hkrul_tuula_chariot	wh_main_group_norsca
hkrul_olaf_mammoth	wh_main_group_norsca
hkrul_orgrim	wh_main_group_norsca
hkrul_berus	wh_main_group_norsca
hkrul_usta	wh_main_group_norsca
hkrul_kammler	wh_main_group_norsca
hkrul_eyri	wh_main_group_norsca
