unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/dead_scm_longships	
nor_longship_ror	wh_main_group_norsca
nor_longship_ror	wh_main_group_norsca_steppe
nor_longship_ror	wh2_dlc09_rogue_black_creek_raiders
nor_longship_ror	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
nor_longship_ror	wh2_dlc11_cst_shanty_middle_sea_brigands
hkrul_birna_longship	wh_main_group_norsca
hkrul_harald_longship	wh_main_group_norsca
hkrul_geimdall_longship	wh_main_group_norsca
hkrul_boartusk_mammoth_ror	wh_main_group_norsca
