building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/scm_norsca	
rhox_fc_norsca_hafskael_yard	wh_main_bas_nor
rhox_fc_norsca_harald_throne	wh_main_bas_nor
rhox_fc_norsca_kai_delta_swamp	wh_main_bas_nor
rhox_fc_norsca_valmir_aesling	wh_main_bas_nor
rhox_fc_norsca_great_gathering	wh_main_bas_nor
rhox_fc_norsca_ruins_of_vinnskor	wh_main_bas_nor
rhox_fc_norsca_sargath_tent	wh_main_bas_nor
rhox_fc_norsca_chaos_iceberg	wh_main_bas_nor
rhox_fc_norsca_corrupted_khemri	wh_main_bas_nor
rhox_bjornling_creatures	wh_main_bas_nor
hunting_camp_main	wh_main_bas_nor
hunting_camp_beast_packs	wh_main_bas_nor
hunting_camp_shrine	wh_main_bas_nor
hunting_camp_defence	wh_main_bas_nor
hunting_camp_hunting_parties	wh_main_bas_nor
hunting_camp_thrill	wh_main_bas_nor
wolftribe_greathall	wh_main_bas_nor
wolftribe_humbled_hall	everyone
rhox_adella_dae_temple_kho	wh_main_bas_nor
rhox_adella_dae_temple_nur	wh_main_bas_nor
rhox_adella_dae_temple_sla	wh_main_bas_nor
rhox_adella_dae_temple_tze	wh_main_bas_nor
hkrul_norsca_duel_circle	wh_main_bas_nor
hkrul_norsca_snaegr_hall	wh_main_bas_nor
hkrul_norsca_mermedus_temple	wh_main_bas_nor
hkrul_norsca_erik_tomb	wh_main_bas_nor
hkrul_norsca_barrows	wh_main_bas_nor
