id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/scm_norsca			
31648055	950	wh_dlc08_nor_mon_skinwolves_1	wolftribe_nor_mon_skinwolves_1
31648056	650	wh_dlc08_nor_mon_warwolves_0	wolftribe_nor_mon_warwolves_0
31648057	950	rhox_baersonling_champion	rhox_baersonling_champion
31648058	950	rhox_baersonling_champion	rhox_baersonling_champion
31648059	950	rhox_kurgan_champion	rhox_kurgan_champion
31648060	950	rhox_kurgan_champion	rhox_kurgan_champion
31648061	1000	dead_drenok_ice_golem	rhox_drenok_lesser_ice_golem
31648062	1000	rhox_bjornling_huscarl	hkrul_bjornling_huscarl
31648063	1000	hkrul_shark_1	hkrul_shark_1
31648064	1000	hkrul_skald_horn	hkrul_skald
31648065	1000	hkrul_skeggi_inf_marauder_champions_0	hkrul_skeggi_inf_marauder_champions_0
