member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/scm_fc_norsca_sayl_diplo	
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVamp_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVamp_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGenUndead_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGenUndead_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDaemons_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDaemons_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosKho_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosKho_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosNur_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosNur_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosSla_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosSla_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosTze_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosTze_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskinSv_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskinSv_&_Positive	friendly
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVampCoast_&_Negative	hostile
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVampCoast_&_Positive	friendly
