member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/rhox_aesling_diplo	
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionOgre_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionOgre_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionSlaanesh_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionSlaanesh_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionTzeentch_&_Negative	hostile
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionTzeentch_&_Positive	friendly
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_Positive	friendly
