member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/scm_fc_norsca_surthaek_diplo	
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionChaos_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionChaos_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionNorsca_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionNorsca_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionVamp_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionVamp_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_Positive	friendly
