member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/rhox_birna_diplo	
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionBeastmen_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionBeastmen_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionBretonnia_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionBretonnia_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionChaos_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionChaos_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionDarkElves_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionDarkElves_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionDwarf_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionDwarf_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionEmpire_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionEmpire_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionGreenskin_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionGreenskin_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionHighElves_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionHighElves_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionLizardmen_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionLizardmen_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionSkaven_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionSkaven_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionTombKings_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionTombKings_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionVamp_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionVamp_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionWoodElves_&_Negative	hostile
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_OtherFactionWoodElves_&_Positive	friendly
diplomacy_FactionGroup_DE_DreadlordFemale_Faction_RhoxBirna_&_Positive	friendly
