army_name	character_name	script_name
#battle_set_piece_armies_characters_junctions_tables;0;db/battle_set_piece_armies_characters_junctions_tables/hkrul_norsca_qb		
hkrul_adella_qb_1_army_enemy_reinforcement	hkrul_adella_sword_kroxigor_ancient	hkrul_adella_qb_1_army_enemy_reinforcement
hkrul_adella_qb_1_army_enemy	hkrul_adella_sword_kroxigor_ancient	hkrul_adella_qb_1_army_enemy
hkrul_adella_qb_1_army_player	hkrul_adella	
hkrul_adella_qb_1_army_player_reinforcement	hkrul_adella_verdandi	hkrul_adella_qb_1_army_player_reinforcement
hkrul_ulfric_qb_1_army_player	hkrul_ulfric	
hkrul_ulfric_qb_1_army_player_reinforcement	hkrul_ulfric_crown_olveskan	ulfric_reinforcements
hkrul_ulfric_qb_1_army_enemy_reinforcement	hkrul_ulfric_crown_aranessa	ogg_flankers
hkrul_ullfric_qb_1_army_enemy	wh2_dlc11_cst_final_battle_gunnery_wight	saltspite_main
hkrul_ullfric_qb_1_army_enemy	hkrul_ulfric_crown_ogg	saltspite_main
