key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/rhox_beorg				
rhox_lccp_nor_vets_marauder_hunters_marauder_horsemen_ror	false	-1	-1	
hkrul_oerl_bears	false	-1	-1	
hkrul_oerl_hunters	false	-1	-1	
hkrul_oerl_wolves	false	-1	-1	
hkrul_oerl_bearmen	false	-1	-1	
hkrul_beorg_bear	false	-1	-1	
hkrul_vroth_horse	false	-1	-1	
hkrul_skalds	false	-1	-1	
hkrul_mermedus	false	-1	-1	
hkrul_urf	false	-1	-1	
hkrul_lords_norsca	false	-1	-1	
hkrul_werekin_champion	false	-1	-1	
hkrul_kho_warriors_snaegr	false	-1	-1	
hkrul_mawherd_bloodfjord	false	-1	-1	
