bonus_value_id	effect	unit_set_attribute
#effect_bonus_value_unit_set_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_set_unit_attribute_junctions_tables/scm_norsca		
enable	hkrul_sayl_shaman_mastery	hkrul_sayl_shaman_mastery
enable	vanguard_ice_wolves	ice_wolves_guerilla_deploy
enable	skin_wolf_enable_terror	skin_wolf_enable_terror
enable	skin_wolf_transformation_enable_terror	skin_wolf_transformation_enable_terror
enable	wolftribe_courageous_marauders	wolftribe_courageous_marauders
enable	hkrul_surtha_chariots_fear	hkrul_surtha_chariots_fear
enable	hkrul_surtha_chariots_glorious	hkrul_surtha_chariots_glorious
enable	hkrul_birna_hunters_snipe	hkrul_birna_hunters_snipe_enable
enable	hkrul_birna_hunters_vanguard	hkrul_birna_hunters_vanguard_enable
