building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/rhox_bjornling									
wh_main_nor_creatures_1			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_1	true	
wh_main_nor_creatures_2			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_2	true	
wh_main_nor_creatures_3			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_3	true	
rhox_bjornling_creatures_1			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_1	true	
rhox_bjornling_creatures_2			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_2	true	
rhox_bjornling_creatures_3			wh_main_nor_bjornling	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_3	true	
wh_main_nor_creatures_1			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_1	true	
wh_main_nor_creatures_2			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_2	true	
wh_main_nor_creatures_3			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_creatures_of_chaos	true	wh_main_nor_creatures_3	true	
rhox_bjornling_creatures_1			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_1	true	
rhox_bjornling_creatures_2			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_2	true	
rhox_bjornling_creatures_3			mixer_nor_geimdall_huscarls	wh_main_PLACEHOLDER	nor_spirits_of_north	false	rhox_bjornling_creatures_3	true	
