campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/hkrul_late_summer						
		1	hkrul_grydal_special_1_0		x	9
		1	hkrul_goftur_special_1_0		x	9
		1	hkrul_goftur_special_0_1		x	6
		1	hkrul_goftur_special_0_2		x	29
		1	hkrul_goftur_sword		x	8
		1	hkrul_mermedus_special_1_0		x	9
		1	hkrul_urf_special_1_0		x	9
		1	hkrul_urf_special_0_1		x	6
		1	hkrul_urf_special_0_2		x	15
		1	hkrul_urf_sword		x	8
		1	hkrul_goftur_special_1_6		x	16
		1	hkrul_goftur_token		x	13
		1	hkrul_grydal_special_0_1		x	15
		1	hkrul_grydal_special_0_2		x	29
		1	hkrul_grydal_axe		x	8
		1	hkrul_grydal_banner		x	14
		1	hkrul_goftur_ship		x	18
		1	hkrul_yngve_eye		x	15
		1	hkrul_norsca_ship_12		x	18
		1	hkrul_haraldur_special_1_0		x	9
		1	hkrul_haraldur_special_0_1		x	6
		1	hkrul_haraldur_sword		x	8
		1	hkrul_haraldur_shield		x	13
		1	hkrul_haraldur_tankard		x	17
		1	hkrul_hakka_banner		x	15
