trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/scm_norsca			
hkrul_defeated_trait_adella	wh2_main_faction_political_diplomacy_mod_lizardmen	character_to_faction_unseen	5.0000
hkrul_defeated_trait_adella	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own_unseen	5.0000
hkrul_defeated_trait_akkorak	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_birna	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_drenok	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_einar	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_harald	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_sayl	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_ulfric	wh_main_effect_character_stat_melee_attack_vs_chaos_norsca	character_to_character_own	5.0000
hkrul_defeated_trait_ulfric	wh2_main_effect_force_stat_weapon_strength_vs_chaos_norsca	character_to_force_own	2.0000
hkrul_defeated_trait_kolsveinn	wh2_main_effect_captives_unit_xp	character_to_character_own	15.0000
hkrul_defeated_trait_ogg	wh3_main_effect_character_stat_unit_mass_percentage_mod	character_to_character_own	15.0000
