trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/ab_wolftribe			
packlord_hunter_trait_ocean_hunter	wh_main_effect_ability_enable_glittering_scales	character_to_character_own	1.0000
packlord_hunter_trait_forest_hunter	wh_main_effect_attribute_enable_stalk	general_to_force_own	1.0000
packlord_hunter_trait_tundra_hunter	wh_dlc08_effect_character_stat_enable_frostbite_attacks	general_to_force_own	1.0000
packlord_hunter_trait_wasteland_hunter	wh2_dlc15_effect_unit_enable_attribute_charge_defence_against_large	general_to_force_own	1.0000
packlord_hunter_trait_wasteland_hunter	wh2_dlc17_effect_ability_enable_bloodgreed	character_to_character_own	1.0000
packlord_hunter_trait_badlands_hunter	wh_main_effect_force_stat_melee_attack	general_to_force_own	2.0000
packlord_hunter_trait_badlands_hunter	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0000
packlord_hunter_trait_desert_hunter	wh2_dlc10_effect_attribute_enable_perfect_vigour	general_to_force_own	1.0000
packlord_hunter_trait_mountain_hunter	wh3_main_effect_force_stat_unit_mass_percentage_mod	character_to_character_own	25.0000
packlord_hunter_trait_grassland_hunter	wh2_dlc14_effect_force_charge_bonus_add	general_to_force_own	5.0000
packlord_hunter_trait_jungle_hunter	wh_main_effect_force_stat_weapon_strength	general_to_force_own	5.0000
packlord_hunter_trait_jungle_hunter	wh_main_effect_character_stat_unit_health	character_to_character_own	10.0000
packlord_hunter_trait_underground_hunter	wh2_dlc10_effect_character_stat_enable_contaminated_attacks	general_to_force_own	1.0000
packlord_hunter_trait_underground_hunter	wh3_dlc20_effect_attribute_immune_to_contact_stat_effects	character_to_character_own	1.0000
packlord_hunter_trait_dragon_hunter	wh_main_effect_character_stat_fire_resistance	general_to_force_own	25.0000
packlord_hunter_trait_vampire_hunter	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
packlord_hunter_trait_mummy_hunter	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000
packlord_hunter_trait_man_hunter	wh3_main_effect_ability_enable_revel_in_slaughter	character_to_character_own	1.0000
packlord_hunter_trait_h_elf_hunter	wh_main_effect_force_stat_ap_damage	general_to_force_own	3.0000
packlord_hunter_trait_w_elf_hunter	wh_main_effect_force_stat_missile_resistance	general_to_force_own	10.0000
packlord_hunter_trait_d_elf_hunter	wh2_dlc15_effect_ability_enable_mimic_murderous_prowess	character_to_character_own	1.0000
packlord_hunter_trait_dwarf_hunter	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
packlord_hunter_trait_celestial_hunter	wh3_main_effect_ability_enable_glittering_robe_dragon	character_to_character_own	1.0000
packlord_hunter_trait_daemon_hunter	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
savage_hunter_trait_savage_hunter	packlord_hunter_monster_hunt_trait_dummy	character_to_character_own	1.0000
