id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/sayl_campaign_group_members_data		
diplomacy_Subcult_Norsca_&_FactionSorcLord	diplomacy_Faction_NorseSorcererLord	8.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_Negative	24.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaosDwarfs	9.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaosDwarfs_&_Negative	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Positive	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaosDwarfs_&_Positive	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionBretonnia	9.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionBretonnia_&_Negative	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Positive	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionBretonnia_&_Positive	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaos	9.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaos_&_Negative	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Positive	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionChaos_&_Positive	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionDwarf	9.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionDwarf_&_Negative	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Positive	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionDwarf_&_Positive	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionEmpire	9.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Negative	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionEmpire_&_Negative	25.0000
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Positive	diplomacy_Faction_NorseSorcererLord_&_FactionGroup_2_&_OtherFactionEmpire_&_Positive	25.0000
