id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/rhox_fc_norsca		
rhox_aesling_feature_group	rhox_aesling_feature_group	0.0000
rhox_baersonling_feature_group	rhox_baersonling_feature_group	0.0000
rhox_baersonling_high_wom	rhox_baersonling_high_wom	0.0000
rhox_baersonling_marauder_chieftain_initiatives	rhox_baersonling_marauder_chieftain_initiatives	0.0000
rhox_baersonling_marauder_chieftain_boons	rhox_baersonling_marauder_chieftain_boons	0.0000
rhox_bjornling_feature_group	rhox_bjornling_feature_group	0.0000
rhox_sayl_feature_group	rhox_sayl_feature_group	0.0000
rhox_akkorak_campaign_feature_group	rhox_akkorak_campaign_feature_group	0.0000
rhox_baersonling_tze_chaos_lord_initiatives	rhox_baersonling_tze_chaos_lord_initiatives	0.0000
rhox_baersonling_tze_chaos_lord_boons	rhox_baersonling_tze_chaos_lord_boons	0.0000
rhox_baersonling_daemon_prince_boons	rhox_baersonling_daemon_prince_boons	0.0000
rhox_sarg_feature	rhox_sarg_feature	0.0000
rhox_aesling_colonise_group	rhox_aesling_colonise_group	5.0000
rhox_bjornling_fishing_stance	rhox_bjornling_fishing_stance	0.0000
rhox_bjornling_occupation_group	rhox_bjornling_occupation_group	5.0000
