id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/rhox_aesling_diplo		
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling	diplomacy_FactionGroup_HeraldOfKhorne1	8.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_Negative	24.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionCathay	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionCathay_&_Negative	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Positive	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionCathay_&_Positive	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionChaosDwarfs	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionChaosDwarfs_&_Negative	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Positive	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionChaosDwarfs_&_Positive	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionDaemon	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionDaemon_&_Negative	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Positive	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionDaemon_&_Positive	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKhorne	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKhorne_&_Negative	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Positive	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKhorne_&_Positive	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKislev	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKislev_&_Negative	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Positive	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionKislev_&_Positive	25.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionNurgle	9.0000
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle_&_Negative	diplomacy_FactionGroup_HeraldOfKhorne1_&_OtherFactionNurgle_&_Negative	25.0000
