character_name	skill	level
#battle_set_piece_armies_characters_skills_tables;2;db/battle_set_piece_armies_characters_skills_tables/hkrul_norsca_qb_sur		
hkrul_bloodtide_olaf_spear_final_battle_brt_general	wh_main_skill_all_all_self_blade_master	1
hkrul_bloodtide_olaf_spear_final_battle_brt_general	wh_main_skill_brt_lord_battle_chivalric_code	1
hkrul_bloodtide_olaf_spear_final_battle_brt_general	wh_main_skill_brt_lord_battle_glorfinials_progeny	1
hkrul_bloodtide_olaf_spear_final_battle_ziege	wh_dlc04_skill_all_health_potion	1
hkrul_bloodtide_olaf_spear_final_battle_ziege	wh_main_skill_all_lord_battle_rally	1
hkrul_bloodtide_olaf_spear_final_battle_ziege	wh_main_skill_emp_lord_battle_hold_the_line	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_dlc04_skill_all_health_potion	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_main_skill_all_all_self_foe-seeker	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_main_skill_all_lord_battle_stand_your_ground	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_main_skill_emp_lord_battle_hold_the_line	1
hkrul_bloodtide_olaf_spear_final_battle_erich	wh_dlc04_skill_volkmar_grand_battle_prayers	1
hkrul_tuula_cb	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_tuula_cb	wh_main_skill_all_all_self_foe-seeker	1
hkrul_tuula_cb	hkrul_tuula_special_1_0	1
hkrul_tuula_cb	hkrul_tuula_special_1_6	1
hkrul_olaf_cb	hkrul_olaf_special_1_0	1
hkrul_olaf_cb	innate_hkrul_olaf	1
hkrul_olaf_cb	hkrul_olaf_special_0_1	1
hkrul_olaf_cb	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_olaf_cb	wh_main_skill_all_all_self_foe-seeker	1
hkrul_killgore_cb	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_killgore_cb	wh_main_skill_all_all_self_foe-seeker	1
hkrul_bloodtide_olaf_spear_final_battle_ziege	hkrul_ziege_cry	1
hkrul_bloodtide_olaf_spear_final_battle_ziege	wh_dlc08_skill_nor_skin_wolf_werekin_battle_frenzied_assault	1
hkrul_birna_cb	hkrul_birna_special_1_5	1
hkrul_birna_cb	innate_hkrul_birna	1
hkrul_mortensen_cb	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_mortensen_cb	wh_main_skill_all_all_self_foe-seeker	1
hkrul_mortensen_cb	hkrul_mortensen_special_1_0	1
hkrul_mortensen_cb	hkrul_mortensen_special_1_6	1
hkrul_mortensen_cb	innate_hkrul_mortensen	1
hkrul_rafn_cb	wh3_dlc26_skill_kho_bloodthirster_unique_01	1
hkrul_rafn_cb	wh_main_skill_all_all_self_foe-seeker	1
hkrul_rafn_cb	hkrul_rafn_special_1_2	1
hkrul_einar_cb	hkrul_einar_special_1_3	1
hkrul_einar_cb	innate_hkrul_einar	1
hkrul_einar_cb	wh_main_skill_all_all_self_deadly_onslaught	1
hkrul_einar_cb	wh_main_skill_all_lord_battle_rally	1
hkrul_kolsveinn_cb	innate_hkrul_kolsveinn	1
hkrul_kolsveinn_cb	hkrul_kolsvein_special_1_5	1
