bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/hkrul_late_frost		
recruit_time_mod	hkrul_mortensen_time	dlc08_nor_marauders_champions
melee_defence_mod	hkrul_geimdall_shielded_melee_defence	hkrul_norsca_shielded
mod_land_movement_battle	hkrul_geimdall_ships_speed	hkrul_norsca_longship
unit_damage_resistance_missile_mod	hkrul_geimdall_ships_mis_res	hkrul_norsca_longship
missile_damage_mod_mult	hkrul_hafskael_longship_ws	hkrul_norsca_longship
unit_mass_percentage_mod	hkrul_hafskael_longship_mass	hkrul_norsca_longship
upkeep_mod	hkrul_hafskael_longship_upkeep	hkrul_norsca_longship
global_recruit_time_mod	hkrul_hafskael_longship_time	hkrul_norsca_longship
recruit_time_mod	hkrul_hafskael_longship_time_local	hkrul_norsca_longship
