bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/scm_norsca		
melee_damage_mod_add	hkrul_adella_skeggi_ws	hkrul_skeggi
unit_xp_mod	hkrul_adella_skeggi_recruit_rank	hkrul_skeggi
melee_defence_mod	hkrul_adella_skeggi_md	hkrul_skeggi
charge_add	hkrul_adella_skeggi_charge	hkrul_skeggi
morale	hkrul_adella_skeggi_leadership	hkrul_skeggi
melee_attack_mod	hkrul_drenok_ice_attack	hkrul_drenok_ice_wolves
mod_land_movement_battle	hkrul_drenok_ice_speed	hkrul_drenok_ice_wolves
unit_xp_mod	hkrul_drenok_xp	hkrul_drenok_frostwyrm
mod_land_movement_battle	hkrul_hakka_berserker_speed	dlc08_nor_marauders_berserkers
damage_vs_large_entities	hkrul_harald_skin_wolves_bonus_vs_large	dlc08_nor_skin_wolves
melee_damage_mod_mult	hkrul_harald_beserker_melee_damage	dlc08_nor_marauders_berserkers
upkeep_mod	hkrul_bjornling_upkeep	hkrul_bjornling
global_recruit_time_mod	hkrul_bjornling_global_recruit_time	dlc08_nor_marauders_champions
armour_mod	hkrul_bjornling_armour	hkrul_bjornling
morale	hkrul_bjornling_morale	hkrul_bjornling
unit_xp_mod	hkrul_bjornling_xp	hkrul_bjornling
melee_defence_mod	hkrul_bjornling_defence	hkrul_bjornling
unit_xp_mod	hkrul_akkorak_horse_xp	hkrul_akkorak_horse
upkeep_mod	hkrul_akkorak_horse_global	hkrul_akkorak_horse
armour_mod	hkrul_akkorak_skinwolves_armour	dlc08_nor_skin_wolves
unit_damage_resistance_missile_mod	hkrul_akkorak_skinwolves_mis_res	dlc08_nor_skin_wolves
melee_attack_mod	hkrul_akkorak_horse_melee_attack	hkrul_akkorak_horse
morale	hkrul_akkorak_horse_morale	hkrul_akkorak_horse
global_recruit_time_mod	hkrul_sayl_mammoth_global	dlc08_mammoths
unit_xp_mod	hkrul_sayl_mammoth_rank	dlc08_mammoths
damage_vs_infantry	hkrul_sayl_mammoth_infantry	dlc08_mammoths
upkeep_mod	hkrul_sayl_shaman_upkeep	hkrul_sayl_shaman
movement_mod	hkrul_shaman_speed	hkrul_sayl_shaman
melee_attack_mod	hkrul_sayl_nightmaw_melee	hkrul_sayl_nightmaw
