bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/hkrul_nor_surp		
recruit_time_mod	hkrul_olg_time	dlc08_nor_marauders_champions
global_recruit_time_mod	hkrul_haftagg_time	dlc08_nor_skin_wolves
melee_defence_mod	hkrul_heroes_def	heroes
melee_attack_mod	hkrul_olg_ror	hkrul_nor_berserker_ror
recruit_time_mod	hkrul_hafskael_time	dlc08_nor_marauders_champions
upkeep_mod	hkrul_upkeep_heroes_campaign_test	hkrul_skalds
melee_attack_mod	hkrul_sharks_melee	hkrul_sharks
melee_defence_mod	hkrul_sharks_melee_defence	hkrul_sharks
melee_damage_mod_mult	hkrul_goftur_shark_ws	hkrul_sharks
