building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/scm_norsca			
hkrul_norsca_duel_circle		wh2_main_set_landmark	false
hkrul_norsca_snaegr_hall		wh2_main_set_landmark	false
hkrul_norsca_mermedus_temple		wh2_main_set_landmark	false
rhox_fc_norsca_hafskael_yard		wh2_main_set_landmark	false
rhox_fc_norsca_harald_throne		wh2_main_set_landmark	false
rhox_fc_norsca_kai_delta_swamp		wh2_main_set_landmark	false
rhox_fc_norsca_valmir_aesling		wh2_main_set_landmark	false
rhox_fc_norsca_great_gathering		wh2_main_set_landmark	false
rhox_fc_norsca_ruins_of_vinnskor		wh2_main_set_landmark	false
rhox_fc_norsca_sargath_tent		wh2_main_set_landmark	false
rhox_fc_norsca_chaos_iceberg		wh2_main_set_landmark	false
rhox_fc_norsca_corrupted_khemri		wh2_main_set_landmark	false
rhox_bjornling_creatures		wh_main_set_norsca_military_recruitment	false
hkrul_norsca_erik_tomb		wh2_main_set_landmark	false
hkrul_norsca_barrows		wh2_main_set_landmark	false
