key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	audio_vo_actor_override	mom_vortex_key
#unit_special_abilities_tables;74;db/unit_special_abilities_tables/hkrul_late_frost																																																																						
hkrul_mortensen_shield	-1.0000	-1.0000	-1	75.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	325678901				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	75.0000	75.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	1	false	1.0000		true					
hkrul_mortensen_axe	30.0000	100.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	325678902				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_geimdall_rally	30.0000	105.0000	-1	50.0000	true	-1	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	325678903				0.0000	0.0000	wh_abilities_generic_buff					0.0000		augment_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		false					
hkrul_geimdall_shield_pas	-1.0000	-1.0000	-1	50.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	325678904				0.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff				0.0000		augment_melee_area			vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					
hkrul_geimdall_helm	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	325678905				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	75.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_geimdall_sword	17.0000	90.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	100.0000	false	false	0.0000	false	325678906				0.0000	0.0000	wh_abilities_generic_breath_long	wh_abilities_generic_breath_long			hkrul_geimdall_sword	0.0000		vortex_breath	wh_group_mount_generic		vo_battle_special_ability_spell_cast_negative	0.0000	100.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_unit	1	false	1.0000		true					
hkrul_geimdall_command	-1.0000	-1.0000	-1	50.0000	true	-1	0	true	0.0000		false	false	false	0.0000	false	false	0.0000	false	325678907				0.0000	0.0000						0.0000		augment_melee_area	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	0.0000				false	false	true	false				false	false	false	false	false	testudo_formation		false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_geimdall_horn	35.0000	100.0000	-1	60.0000	true	-1	-1	false	0.0000		false	false	false	0.0000	false	false	0.1000	false	325678908			cast_up_short	0.0000	0.0000	wh_abilities_generic_buff					0.0000		augment_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	100.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		false					
hkrul_mortensen_rally	35.0000	115.0000	-1	35.0000	false	0	-1	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	325678909				0.0000	0.0000	wh_abilities_generic_debuff					0.0000		hex_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	150.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		false					
hkrul_norsca_shield_3	25.0000	85.0000	3	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	325678910				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_norsca_axe_5	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	true	false	0.0000	true	325678911				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_spell_cast_negative	188.0000	0.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	true	buff_self	1	false	1.0000		true					
hkrul_norsca_helmet_3	50.0000	150.0000	1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	325678912				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_norsca_axe_4	25.0000	70.0000	3	40.0000	false	0	-1	true	0.0000		false	false	false	0.0000	false	false	0.0000	false	325678913				0.0000	0.0000	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage_active			0.0000		direct_damage_single_entity_area	wh_group_weapon_sharp		vo_battle_special_ability_generic_response	0.0000	115.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					
hkrul_yngve_gaze	25.0000	110.0000	-1	0.0000	false	0	1	true	0.0000		false	true	false	100.0000	false	false	0.0000	false	325678914				0.0000	0.0000	wh_abilities_generic_debuff_no_ring	wh_abilities_generic_debuff_no_ring				0.0000		hex_melee	wh_group_lord_ability		vo_battle_special_ability_generic_response	75.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_single	1	false	1.0000		true					
hkrul_yngve_rune	30.0000	80.0000	3	0.0000	true	1	0	false	0.0000		true	false	false	100.0000	false	false	0.0000	false	325678915				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_morale	wh_group_item		vo_battle_special_ability_spell_cast_positive	75.0000	75.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	1	false	1.0000		true					
hkrul_geimdall_wall_formation	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	false	325678916				0.0000	0.0000						0.0000		augment_charge_self	wh_group_wedge_formation		vo_battle_special_ability_generic_response	25.0000	0.0000				false	false	true	false				false	false	false	false	false	shield_wall_formation		false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_ziege_cry	18.0000	100.0000	-1	0.0000	false	0	1	false	60.0000		false	true	false	120.0000	false	false	0.0000	false	325678917				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000		hex_melee	wh_group_hero		vo_battle_special_ability_spell_cast_negative	90.0000	90.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					
hkrul_boartusk_horn	20.0000	90.0000	3	35.0000	false	0	-1	true	0.0000		false	true	true	200.0000	false	false	2.0000	false	325678918				0.0000	0.0000	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh_abilities_generic_debuff			0.0000		hex_melee_area	wh_group_lord_ability		vo_battle_special_ability_spell_cast_negative	150.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	2	false	1.0000		true					
hkrul_bubos_breath	-1.0000	45.0000	6	0.0000	false	0	0	false	0.0000	hkrul_bubos_breath	false	true	false	80.0000	false	false	1.3000	false	325678919			cast_forward_short	0.0000	0.0000	wh_spell_generic_missiles	wh_spell_generic_missiles				0.0000		projectile_explosive	wh_main_spell_bound_fireball	fire_short	vo_battle_special_ability_spell_cast_negative	0.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_unit	1	false	1.0000		true					
hkrul_bubos_eye	-1.0000	-1.0000	-1	40.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	325678920				0.0000	0.0000	wh_abilities_generic_direct_damage					0.0000					vo_battle_special_ability_generic_response	200.0000	150.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					
hkrul_bubos_eye_weak	-1.0000	-1.0000	-1	35.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	325678921				0.0000	0.0000	wh_abilities_generic_direct_damage					0.0000					vo_battle_special_ability_generic_response	100.0000	100.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					
hkrul_godi_club	30.0000	100.0000	3	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	325678922				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
