key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	audio_vo_actor_override	mom_vortex_key
#unit_special_abilities_tables;74;db/unit_special_abilities_tables/hkrul_nor_surp																																																																						
hkrul_olg_helm	-1.0000	-1.0000	-1	75.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	49328121				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	75.0000	75.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	1	false	1.0000		true					
hkrul_olg_axe	30.0000	100.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	49328122				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_tuula_rally	30.0000	105.0000	-1	50.0000	true	-1	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	false	49328123				0.0000	0.0000	wh_abilities_generic_buff					0.0000		augment_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		false					
hkrul_tuula_bound	-1.0000	-1.0000	-1	10.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	49328124				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	75.0000	75.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	1	false	1.0000		true					
hkrul_tuula_axe	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	true	false	0.0000	true	49328125				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_spell_cast_negative	188.0000	0.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	true	buff_self	1	false	1.0000		true					
hkrul_haftagg_shield	-1.0000	-1.0000	-1	75.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	49328126				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	75.0000	75.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	1	false	1.0000		true					
hkrul_haftagg_roar	30.0000	100.0000	-1	0.0000	true	0	0	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	49328127				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000		augment_melee_self	wh_group_hero		vo_battle_special_ability_generic_response	100.0000	25.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_self	1	false	1.0000		true					
hkrul_olaf_rally	25.0000	110.0000	-1	35.0000	false	0	-1	false	0.0000		false	false	false	0.0000	false	false	1.0000	false	49328128				0.0000	0.0000	wh_abilities_generic_debuff					0.0000		hex_melee_area	wh_group_lord_ability		vo_battle_special_ability_generic_response	150.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		false					
hkrul_olaf_retinue	-1.0000	-1.0000	-1	50.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	49328130				0.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff				0.0000		augment_melee_area			vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					
