unit_record	height_offset	campaign_height_offset
#unit_banner_unit_height_offsets_tables;2;db/unit_banner_unit_height_offsets_tables/scm_norsca		
hkrul_ulfric_horse	1.0000	0.0000
hkrul_ulfric_chariot	1.5000	0.0000
hkrul_ulfric_mammoth	1.0000	0.0000
hkrul_lokjar_horse	1.0000	0.0000
hkrul_lokjar_chariot	1.5000	0.0000
hkrul_adella_chariot	1.5000	0.0000
hkrul_hakka_chariot	3.0000	0.0000
hkrul_hakka_juggernaut	2.0000	0.0000
hkrul_sayl_chariot	1.5000	0.0000
hkrul_sayl_mammoth	1.0000	0.0000
hkrul_drenok_chariot	1.5000	0.0000
hkrul_akkorak	2.0000	0.0000
hkrul_sarg_horse	1.0000	0.0000
hkrul_sarg_chariot	3.0000	0.0000
hkrul_sarg_exalted_seeker_chariot	2.0000	0.0000
rana_02	1.1000	0.0000
