phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_late_summer			
hkrul_grydal_shield	stat_weakness_flame	-15.0000	add
hkrul_grydal_shield	stat_melee_defence	-15.0000	add
hkrul_goftur_rally	stat_melee_attack	15.0000	add
hkrul_goftur_rally	stat_morale	15.0000	add
hkrul_goftur_shield_pas	stat_armour	25.0000	add
hkrul_goftur_shield_pas	stat_resistance_missile	1.2000	mult
hkrul_goftur_helm	stat_melee_defence	25.0000	add
hkrul_goftur_helm	stat_damage_reflection	10.0000	add
hkrul_shark_augment	scalar_charge_speed	1.7000	mult
hkrul_shark_augment	scalar_speed	1.7000	mult
hkrul_shark_augment	scalar_entity_acceleration_modifier	1.4000	mult
hkrul_shark_augment	stat_melee_damage_base	1.2000	mult
hkrul_mermedus_shield	stat_bonus_vs_large	10.0000	add
hkrul_mermedus_shield	stat_melee_defence	15.0000	add
hkrul_mermedus_axe	scalar_splash_attack_power	1.5000	mult
hkrul_mermedus_axe	stat_bonus_vs_large	25.0000	add
hkrul_urf_rally	stat_melee_attack	15.0000	add
hkrul_urf_rally	stat_morale	15.0000	add
hkrul_urf_shield_pas	stat_armour	25.0000	add
hkrul_urf_shield_pas	stat_resistance_missile	1.2000	mult
hkrul_urf_helm	stat_melee_defence	25.0000	add
hkrul_urf_helm	stat_damage_reflection	10.0000	add
hkrul_goftur_sword	stat_melee_damage_base	1.3000	mult
hkrul_goftur_sword	stat_resistance_all	10.0000	add
hkrul_shark_augment_2	stat_damage_reflection	15.0000	add
hkrul_shark_augment_2	stat_armour	25.0000	add
hkrul_goftur_cry	stat_melee_defence	-25.0000	add
hkrul_goftur_cry	stat_resistance_physical	0.7500	mult
hkrul_grydal_breath	stat_resistance_physical	1.2500	mult
hkrul_grydal_breath	stat_melee_damage_base	1.3500	mult
hkrul_grydal_mark	stat_melee_damage_ap	1.1500	mult
hkrul_grydal_mark	stat_melee_damage_base	1.1500	mult
hkrul_circle_blooded	stat_melee_damage_ap	1.1500	mult
hkrul_circle_blooded	stat_melee_defence	8.0000	add
hkrul_moon_time	stat_melee_damage_base	1.1000	mult
hkrul_mermedus_mark	stat_melee_attack	10.0000	add
hkrul_mermedus_mark	scalar_speed	1.1500	mult
hkrul_wolf_hunter	stat_bonus_vs_large	10.0000	add
hkrul_wolf_hunter	stat_melee_defence	10.0000	add
hkrul_yngve_eye	stat_melee_damage_base	1.1500	mult
hkrul_yngve_eye	stat_morale	8.0000	add
hkrul_haraldur_rally	stat_melee_damage_base	1.2000	mult
hkrul_haraldur_rally_enemy	scalar_speed	0.7000	mult
hkrul_haraldur_shield	stat_bonus_vs_large	8.0000	add
hkrul_haraldur_shield	scalar_bracing	1.5000	mult
hkrul_haraldur_tankard	stat_mass	1.3000	mult
hkrul_skald_rally	stat_morale	15.0000	add
hkrul_skald_rally	stat_resistance_physical	1.2000	mult
hkrul_tuula_mark	stat_melee_defence	8.0000	add
hkrul_snaegr_mark	stat_resistance_physical	1.1500	mult
hkrul_snaegr_mark	stat_melee_damage_base	1.1500	mult
hkrul_eyrdal_thorn	stat_melee_damage_base	1.2000	mult
hkrul_eyrdal_thorn	stat_bonus_vs_large	15.0000	add
