phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_late_frost			
hkrul_mortensen_shield	stat_bonus_vs_infantry	8.0000	add
hkrul_mortensen_shield	stat_melee_defence	15.0000	add
hkrul_mortensen_axe	scalar_splash_attack_power	1.5000	mult
hkrul_mortensen_axe	stat_bonus_vs_infantry	20.0000	add
hkrul_geimdall_rally	stat_bonus_vs_infantry	5.0000	add
hkrul_geimdall_rally	stat_morale	15.0000	add
hkrul_geimdall_shield_pas	stat_armour	25.0000	add
hkrul_geimdall_shield_pas	stat_resistance_missile	1.2000	mult
hkrul_geimdall_helm	stat_melee_defence	25.0000	add
hkrul_geimdall_helm	stat_damage_reflection	10.0000	add
hkrul_geimdall_command	stat_melee_defence	-35.0000	add
hkrul_geimdall_command_area	stat_resistance_all	15.0000	add
hkrul_geimdall_horn	stat_melee_defence	10.0000	add
hkrul_geimdall_horn_enemy	stat_melee_attack	-10.0000	add
hkrul_mortensen_rally	stat_resistance_physical	0.8500	mult
hkrul_mortensen_rally	scalar_speed	0.8500	mult
hkrul_norsca_shield_3	stat_armour	35.0000	add
hkrul_norsca_axe_5	stat_melee_attack	25.0000	add
hkrul_norsca_axe_5	stat_bonus_vs_infantry	15.0000	add
hkrul_norsca_helmet_3	stat_resistance_all	25.0000	add
hkrul_norsca_axe_4	scalar_speed	0.8000	mult
hkrul_yngve_gaze	stat_morale	-30.0000	add
hkrul_yngve_gaze	stat_armour	-10.0000	add
hkrul_yngve_rune	stat_resistance_physical	1.1500	mult
hkrul_yngve_rune	stat_healing_power	1.1500	mult
hkrul_geimdall_wall_formation_buffer	stat_melee_defence	5.0000	add
hkrul_geimdall_wall_formation_buffer	stat_missile_block_chance	10.0000	add
hkrul_geimdall_wall_formation_buffer	scalar_charge_speed	0.6000	mult
hkrul_geimdall_wall_formation	stat_missile_block_chance	15.0000	add
hkrul_geimdall_wall_formation	stat_melee_defence	10.0000	add
hkrul_geimdall_wall_formation	scalar_charge_speed	0.4000	mult
hkrul_ziege_cry	stat_morale	-20.0000	add
hkrul_boartusk_horn	stat_armour	-35.0000	add
hkrul_boartusk_horn	stat_resistance_missile	-20.0000	add
hkrul_boartusk_horn	scalar_speed	0.7000	mult
hkrul_bubos_eye	stat_melee_defence	-8.0000	add
hkrul_bubos_eye_weak	stat_melee_defence	-5.0000	add
hkrul_skraevold_fury	stat_damage_reflection	15.0000	add
hkrul_skraevold_fury	stat_resistance_all	15.0000	add
hkrul_godi_club	stat_bonus_vs_infantry	25.0000	add
hkrul_skoroth_pas	stat_resistance_physical	1.3500	mult
hkrul_skoroth_pas	stat_resistance_missile	1.3500	mult
