phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_nor_surp			
hkrul_olg_helm	stat_morale	20.0000	add
hkrul_olg_helm	stat_armour	20.0000	add
hkrul_olg_axe	stat_melee_damage_base	1.5000	mult
hkrul_tuula_rally	stat_bonus_vs_infantry	10.0000	add
hkrul_tuula_rally	stat_damage_reflection	5.0000	add
hkrul_tuula_bound	stat_resistance_physical	20.0000	add
hkrul_tuula_bound	stat_melee_damage_base	1.2000	mult
hkrul_haftagg_shield	stat_charge_bonus	15.0000	add
hkrul_haftagg_shield	scalar_speed	1.2000	mult
hkrul_haftagg_roar	stat_melee_defence	-15.0000	add
hkrul_haftagg_roar	scalar_speed	0.7500	mult
hkrul_olaf_rally	stat_melee_attack	-15.0000	add
hkrul_olaf_rally	stat_morale	-15.0000	add
hkrul_olaf_retinue	stat_melee_attack	10.0000	add
hkrul_olaf_helm	stat_melee_defence	25.0000	add
hkrul_olaf_helm	stat_damage_reflection	10.0000	add
hkrul_tuula_axe	stat_melee_damage_base	1.7000	mult
hkrul_eyri_axe	stat_bonus_vs_infantry	25.0000	add
hkrul_eyri_raiders	stat_charge_bonus	1.3000	mult
hkrul_eyri_raiders	scalar_speed	1.2000	mult
hkrul_eyri_cash	stat_melee_damage_base	1.2000	mult
hkrul_eyri_cash	stat_melee_attack	25.0000	add
hkrul_eyri_ring	stat_resistance_physical	1.1500	mult
hkrul_eyri_ring	scalar_speed	1.2000	mult
hkrul_hafskael_shield	stat_bonus_vs_large	10.0000	add
hkrul_hafskael_shield	stat_melee_defence	15.0000	add
hkrul_hafskael_axe	scalar_splash_attack_power	1.5000	mult
hkrul_hafskael_axe	stat_melee_damage_base	1.2500	mult
hkrul_orgrim_axe	stat_bonus_vs_large	15.0000	
hkrul_orgrim_axe	stat_melee_damage_base	1.3500	mult
hkrul_berus_eye	stat_resistance_physical	0.9000	mult
hkrul_usta_gaze	stat_melee_defence	-20.0000	add
hkrul_kammler_time	stat_melee_attack	-20.0000	add
hkrul_kammler_time	stat_resistance_all	1.2000	mult
hkrul_kammler_time	scalar_spell_mastery	1.2000	mult
hkrul_hafskael_ship_buff	stat_resistance_physical	1.1000	mult
hkrul_oda_shield2	stat_melee_attack	10.0000	add
hkrul_oda_shield2	stat_damage_reflection	5.0000	add
hkrul_goftur_children	stat_melee_attack	15.0000	add
hkrul_goftur_children	stat_charge_bonus	15.0000	add
hkrul_goftur_augment	stat_melee_attack	15.0000	add
hkrul_goftur_augment	stat_charge_bonus	15.0000	add
