phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_ulfric			
hkrul_ulfric_axe	stat_melee_damage_base	1.4000	mult
hkrul_ulfric_axe	stat_charge_bonus	1.4000	mult
hkrul_ulfric_crown	stat_bonus_vs_infantry	10.0000	add
hkrul_ulfric_crown	stat_resistance_physical	25.0000	add
hkrul_ulfric_raiders	scalar_bracing	1.2500	mult
hkrul_ulfric_wall_formation_buffer	stat_armour	10.0000	add
hkrul_ulfric_wall_formation	stat_resistance_physical	1.1500	mult
hkrul_ulfric_wall_formation	stat_armour	10.0000	add
rhox_huscarl_shield_wall	stat_missile_block_chance	24.0000	add
rhox_huscarl_shield_wall	stat_mass	1.5000	mult
