phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/hkrul_scm_norsca_anc			
hkrul_norsca_enchanted_1	stat_morale	-5.0000	add
hkrul_norsca_shield_1	stat_resistance_flame	25.0000	add
hkrul_norsca_shield_1	stat_armour	20.0000	add
hkrul_norsca_shield_2_pas	stat_melee_defence	25.0000	add
hkrul_norsca_helmet_2_pas	stat_armour	15.0000	add
hkrul_norsca_helmet_2_pas	stat_damage_reflection	5.0000	add
hkrul_norsca_helmet_2_1	stat_armour	10.0000	add
hkrul_norsca_helmet_2_2	stat_melee_defence	20.0000	add
hkrul_norsca_helmet_2_3	stat_armour	30.0000	add
hkrul_norsca_helmet_2_1	stat_melee_defence	10.0000	add
hkrul_norsca_helmet_2_2	stat_armour	20.0000	add
hkrul_norsca_helmet_2_3	stat_melee_defence	30.0000	add
hkrul_norsca_sword_1	stat_melee_damage_base	1.3500	mult
hkrul_norsca_sword_1	stat_melee_attack	20.0000	add
hkrul_norsca_sword_3	stat_bonus_vs_infantry	10.0000	add
hkrul_norsca_sword_3	stat_melee_damage_ap	1.2000	mult
hkrul_norsca_axe_2	stat_melee_damage_base	1.3000	mult
hkrul_norsca_axe_3	scalar_splash_attack_power	1.5000	mult
hkrul_norsca_axe_3	stat_melee_damage_ap	1.3500	mult
