key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/hkrul_norsca_qb_sur																		
hkrul_bloodtide_olaf_spear_final_battle	FIGHT_SET_PIECE_BATTLE			nor/generic	rom_event_mission.png	false	false	Quest	hkrul_bloodtide_olaf_spear_final_battle	357	578	true	true	10.0000		true		false
hkrul_sarl_birna_bogtusk_final_battle	FIGHT_SET_PIECE_BATTLE			nor/generic	rom_event_mission.png	false	false	Quest	hkrul_sarl_birna_bogtusk_final_battle	411	616	true	true	10.0000		true		false
hkrul_baerson_einar_bubos_battle	FIGHT_SET_PIECE_BATTLE			nor/generic	rom_event_mission.png	false	false	Quest	hkrul_baerson_einar_bubos	705	597	true	true	10.0000		true		false
hkrul_baerson_einar_aesling_battle	FIGHT_SET_PIECE_BATTLE			nor/generic	rom_event_mission.png	false	false	Quest	hkrul_baerson_einar_aesling	519	613	true	true	10.0000		true		false
hkrul_sarl_birna_bogtusk_mission_1	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_sarl_birna_bogtusk_mission_2	RECRUIT_UNIT			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_sarl_birna_bogtusk_mission_3	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_sarl_birna_bogtusk_mission_4	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_0	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_1	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_2	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_3	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_4	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
hkrul_olaf_spear_5	SCRIPTED			nor/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
