effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_late_frost		
hkrul_mortensen_shield	enable	hkrul_mortensen_shield
hkrul_mortensen_axe	enable	hkrul_mortensen_axe
hkrul_geimdall_rally	enable	hkrul_geimdall_rally
hkrul_geimdall_shield_pas	enable	hkrul_geimdall_shield_pas
hkrul_geimdall_command	enable	hkrul_geimdall_command
hkrul_geimdall_horn	enable	hkrul_geimdall_horn
hkrul_mortensen_rally	enable	hkrul_mortensen_rally
hkrul_norsca_axe_4	enable	hkrul_norsca_axe_4
hkrul_yngve_gaze	enable	hkrul_yngve_gaze
hkrul_yngve_rune	enable	hkrul_yngve_rune
