effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_ulfric		
hkrul_ulfric_axe	enable	hkrul_ulfric_axe
hkrul_swyrd_helm	enable	hkrul_swyrd_helm
hkrul_ulfric_pas_shield	enable	hkrul_ulfric_pas_shield
hkrul_norsca_kraken_bound	enable	hkrul_norsca_kraken_bound
hkrul_hildr_brew	enable	hkrul_hildr_brew
hkrul_hildr_axe	enable	hkrul_hildr_axe
hkrul_summon_ymir	enable	hkrul_summon_ymir
hkrul_summon_bear	enable	hkrul_summon_bear
rhox_skald_effect_increase_range	effect_range_mod	rhox_skald_battle_chant
rhox_skald_effect_increase_range	effect_range_mod	rhox_skald_guardian_cadence
rhox_skald_effect_increase_range	effect_range_mod	rhox_skald_fury_call
rhox_skald_effect_disable_rhox_skald_guardian_cadence	disable	rhox_skald_guardian_cadence
rhox_skald_effect_disable_rhox_skald_fury_call	disable	rhox_skald_fury_call
rhox_skald_effect_enable_rhox_skald_guardian_cadence_upgraded	enable	rhox_skald_guardian_cadence_upgraded
rhox_skald_effect_enable_rhox_skald_fury_call_upgraded	enable	rhox_skald_fury_call_upgraded
hkrul_skald_saga	enable	hkrul_skald_saga
