effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_scm_norsca_anc		
hkrul_norsca_axe_2	enable	hkrul_norsca_axe_2
hkrul_norsca_axe_1	enable	hkrul_norsca_axe_1
hkrul_norsca_axe_3	enable	hkrul_norsca_axe_3
hkrul_norsca_helmet_1	enable	hkrul_norsca_helmet_1
hkrul_norsca_helmet_2	enable	hkrul_norsca_helmet_2
hkrul_norsca_sword_1	enable	hkrul_norsca_sword_1
hkrul_norsca_sword_2	enable	hkrul_norsca_sword_2
hkrul_norsca_sword_3	enable	hkrul_norsca_sword_3
hkrul_norsca_sword_4	enable	hkrul_norsca_sword_4
hkrul_norsca_shield_1	enable	hkrul_norsca_shield_1
hkrul_norsca_shield_2	enable	hkrul_norsca_shield_2
hkrul_norsca_enchanted_1	enable	hkrul_norsca_enchanted_1
hkrul_norsca_enchanted_2	enable	hkrul_norsca_enchanted_2
