attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/dead_scm_longships	
encourages	nor_longship_ror_attributes
immune_to_psychology	nor_longship_ror_attributes
mounted_fire_move	nor_longship_ror_attributes
unbreakable	nor_longship_ror_attributes
charge_defense	nor_longship_ror_attributes
causes_fear	nor_longship_ror_attributes
causes_terror	nor_longship_ror_attributes
encourages	birna_longship_attributes
immune_to_psychology	birna_longship_attributes
mounted_fire_move	birna_longship_attributes
unbreakable	birna_longship_attributes
charge_defense	birna_longship_attributes
causes_fear	birna_longship_attributes
causes_terror	birna_longship_attributes
encourages	harald_longship_attributes
immune_to_psychology	harald_longship_attributes
mounted_fire_move	harald_longship_attributes
unbreakable	harald_longship_attributes
charge_defense	harald_longship_attributes
causes_fear	harald_longship_attributes
causes_terror	harald_longship_attributes
encourages	geimdall_longship_attributes
immune_to_psychology	geimdall_longship_attributes
mounted_fire_move	geimdall_longship_attributes
unbreakable	geimdall_longship_attributes
charge_defense	geimdall_longship_attributes
causes_fear	geimdall_longship_attributes
causes_terror	geimdall_longship_attributes
