attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/scm_norsca	
hide_forest	hkrul_birna
encourages	hkrul_birna
mounted_fire_move	hkrul_birna
hide_forest	hkrul_drenok
encourages	hkrul_drenok
hide_forest	hkrul_rafn
encourages	hkrul_rafn
hide_forest	hkrul_harald
encourages	hkrul_harald
hide_forest	hkrul_lokjar
encourages	hkrul_lokjar
hide_forest	hkrul_sayl
encourages	hkrul_sayl
hide_forest	hkrul_ulfric
encourages	hkrul_ulfric
hide_forest	hkrul_verdandi
mounted_fire_move	hkrul_verdandi
causes_fear	calm_fc_norsca_raven
flying	calm_fc_norsca_raven
guerrilla_deploy	calm_fc_norsca_raven
ogre_charge	hkrul_bjornling_ogg
encourages	hkrul_bjornling_ogg
mounted_fire_move	hkrul_bjornling_ogg
hide_forest	hkrul_hakka
encourages	hkrul_hakka
immune_to_psychology	hkrul_hakka
mark_khorne	hkrul_hakka
hide_forest	hkrul_oda
mounted_fire_move	hkrul_oda
encourages	hkrul_oda
causes_fear	hkrul_drenok_wolf
hide_forest	hkrul_drenok_wolf
strider	hkrul_drenok_wolf
devastating_flanker	hkrul_drenok_wolf
hide_forest	hkrul_einar
encourages	hkrul_einar
mark_tzeentch	hkrul_einar
devastating_flanker	hkrul_akkorak
encourages	hkrul_akkorak
hide_forest	hkrul_akkorak
immune_to_psychology	hkrul_akkorak
strider	hkrul_akkorak
hide_forest	hkrul_sarg
encourages	hkrul_sarg
mark_slaanesh	hkrul_sarg
devastating_flanker	hkrul_sarg
hide_forest	hkrul_sarg_horse
encourages	hkrul_sarg_horse
mark_slaanesh	hkrul_sarg_horse
devastating_flanker	hkrul_sarg_horse
devastating_flanker	hkrul_sarg_chariot
encourages	hkrul_sarg_chariot
hide_forest	hkrul_sarg_chariot
immune_to_psychology	hkrul_sarg_chariot
mark_slaanesh	hkrul_sarg_chariot
strider	hkrul_sarg_chariot
causes_fear	hkrul_sarg_exalted_seeker_chariot
devastating_flanker	hkrul_sarg_exalted_seeker_chariot
encourages	hkrul_sarg_exalted_seeker_chariot
fatigue_immune	hkrul_sarg_exalted_seeker_chariot
mark_slaanesh	hkrul_sarg_exalted_seeker_chariot
immune_to_psychology	hkrul_sarg_exalted_seeker_chariot
strider	hkrul_sarg_exalted_seeker_chariot
hide_forest	hkrul_uzul
encourages	hkrul_uzul
hide_forest	hkrul_surtha_ek
encourages	hkrul_surtha_ek
