attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/hkrul_late_frost	
hide_forest	hkrul_mortensen
hide_forest	hkrul_geimdall
charge_defense	hkrul_geimdall
encourages	hkrul_mortensen
encourages	hkrul_geimdall
hide_forest	hkrul_yngve
encourages	hkrul_yngve
encourages	hkrul_willi_ziege
charge_defense	hkrul_willi_ziege
causes_fear	hkrul_willi_ziege
unbreakable	hkrul_willi_ziege
causes_fear	hkrul_boartusk_boss
causes_terror	hkrul_boartusk_boss
fatigue_immune	hkrul_boartusk_boss
immune_to_psychology	hkrul_boartusk_boss
unbreakable	hkrul_boartusk_boss
causes_fear	hkrul_boartusk_mammoth_ror
causes_terror	hkrul_boartusk_mammoth_ror
causes_fear	hkrul_bubos_boss
causes_terror	hkrul_bubos_boss
flying	hkrul_bubos_boss
unbreakable	hkrul_bubos_boss
causes_fear	hkrul_skraevold
hide_forest	hkrul_skraevold
mark_khorne	hkrul_skraevold
unbreakable	hkrul_skraevold
hide_forest	hkrul_godi
encourages	hkrul_godi
immune_to_psychology	hkrul_skoroth_boss
unbreakable	hkrul_skoroth_boss
causes_terror	hkrul_skoroth_boss
causes_fear	hkrul_skoroth_boss
mark_nurgle	hkrul_skoroth_boss
hide_forest	hkrul_haraldur
encourages	hkrul_haraldur
