group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;2;db/cdir_military_generator_unit_qualities_tables/hkrul_nor_surp		
wh3_default_land_characters	hkrul_olg	characters_only
wh3_default_land_characters	hkrul_olg_chariot	characters_only
wh3_default_land_characters	hkrul_tuula	characters_only
wh3_default_land_characters	hkrul_haftagg	characters_only
wh3_default_land_characters	hkrul_olaf_chariot	characters_only
wh3_default_land_characters	hkrul_olaf	characters_only
wh3_default_land_characters	hkrul_tuula_chariot	characters_only
wh3_default_land_characters	hkrul_olaf_mammoth	characters_only
wh3_default_land_characters	hkrul_orgrim	characters_only
wh3_default_land_characters	hkrul_berus	characters_only
wh3_default_land_characters	hkrul_usta	characters_only
wh3_default_land_characters	hkrul_kammler	characters_only
wh3_default_land_characters	hkrul_eyri	characters_only
wh3_default_land_characters	hkrul_hafskael	characters_only
wh3_default_land_characters	hkrul_hafskael_chariot	characters_only
