unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/rhox_adella																																												
r1kko_adella_kho_bastiladon		-1	monster	1	false	r1kko_adella_kho_bastiladon	1	0	650	wh_main_shp_transport	1	1	1	650	202	heavy		0	true	wh2_main_vo_culture_Bastiladon	wh2_dlc17_lzd_bastiladon	2	true	liz_bastiladon		true		775.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true		0.0000	true	1	false
r1kko_adella_nur_bastiladon		-1	monster	1	false	r1kko_adella_nur_bastiladon	1	0	650	wh_main_shp_transport	1	1	1	650	202	very_heavy		0	true	wh2_main_vo_culture_Bastiladon	wh2_dlc17_lzd_bastiladon	2	true	liz_bastiladon		true		775.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true		0.0000	true	1	false
r1kko_adella_sla_bastiladon		-1	monster	1	false	r1kko_adella_sla_bastiladon	1	0	650	wh_main_shp_transport	1	1	1	650	202	heavy		0	true	wh2_main_vo_culture_Bastiladon	wh2_dlc17_lzd_bastiladon	2	true	liz_bastiladon		true		775.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true		0.0000	true	1	false
r1kko_adella_tze_bastiladon		-1	monster	1	false	r1kko_adella_tze_bastiladon	1	0	650	wh_main_shp_transport	1	1	1	650	202	heavy		0	true	wh2_main_vo_culture_Bastiladon	wh2_dlc17_lzd_bastiladon	2	true	liz_bastiladon		true		775.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true		350.0000	true	1	false
r1kko_adella_kho_carnosaur		0	monster	2	false	r1kko_adella_kho_carnosaur	1	0	1550	wh_main_shp_transport	1	1	1	1600	451	heavy		0	true	wh2_main_vo_culture_Carnosaur	wh2_dlc17_lzd_carnosaur	4	true	liz_carnosaur		true		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true		0.0000	true	1	false
r1kko_adella_nur_stegadon		0	monster	2	false	r1kko_adella_nur_stegadon	1	0	1050	wh_main_shp_transport	1	1	1	1100	321	very_heavy		0	true	wh2_main_vo_culture_Stegadon	wh2_dlc17_lzd_stegadon_feral	4	true	liz_stegadon		true		1100.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true		0.0000	true	1	false
r1kko_adella_sla_troglodon		0	monster	2	false	r1kko_adella_sla_troglodon	1	0	1600	wh_main_shp_transport	1	1	1	1700	488	heavy		0	true	wh2_dlc17_vo_culture_Troglodon	wh2_dlc17_lzd_troglodon	4	true	liz_carnosaur		true		950.0000	750.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true		0.0000	true	1	false
r1kko_adella_tze_coatl		0	monster	2	false	r1kko_adella_tze_coatl	1	0	1700	wh_main_shp_transport	1	1	1	1850	512	heavy		0	true	wh2_dlc17_vo_culture_Coatl	wh2_dlc17_lzd_coatl	4	true	liz_coatl		true		1850.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		450.0000	true	1	false
rhox_skeggi_dodvakt		1	melee_cavalry	1	false	rhox_skeggi_dodvakt	48	0	1000	wh_main_shp_transport	1	1	48	1450	301	heavy		0	true	wh_main_vo_actor_Chaos_Marauder	wh2_main_cold_one	4	true	liz_cold_one_riders		false		850.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	true
hkrul_skeggi_giant_ror		1	monster	2	false	hkrul_skeggi_giant_ror	1	0	1400	wh_main_shp_transport	1	1	1	1500	425	very_heavy		0	true	wh_main_vo_culture_Giant	hkrul_norsca_beast	4	true	grn_giant		true		1500.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	true
wh_mod_nor_cav_cold_one_riders_def		0	melee_cavalry	2	false	wh_mod_nor_cav_cold_one_riders_1	24	0	1100	wh_main_shp_transport	1	1	24	1050	262	medium		0	false	wh_main_vo_culture_Chaos	wh2_main_cold_one	3	false	liz_cold_one_riders		false		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	3	false	false		0.0000	true	1	false
