unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/hkrul_nor_surp																																												
hkrul_olg		-1	hero	1	false	hkrul_olg	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh_main_vo_culture_Chaos	hkrul_norsca_axe_great_hero	0	true	chaos_warrior_30_degrees		true		800.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	true	false	0	false	false		0.0000	false	1	false
hkrul_olg_chariot		-1	hero	1	false	hkrul_olg_chariot	2	0	1300	wh_main_shp_transport	1	1	2	1550	0	heavy		0	false	wh_main_vo_culture_Chaos	lord_chariot	0	true	chaos_warrior_30_degrees	wh_dlc08_cam_mnt_nor_marauder_chariot	true		1100.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	true	false	0	false	false		0.0000	false	1	false
hkrul_tuula		-1	hero	1	false	hkrul_tuula	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh2_main_vo_culture_Dark_Elves	hero_infantry_axe	0	true	emp_general_foot		true		800.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_Dark_Elves_Death_Hag	0	true	false	0	false	false		0.0000	false	1	false
hkrul_haftagg		-1	hero	1	false	hkrul_haftagg	1	0	1100	wh_main_shp_transport	1	1	1	1100	0	heavy		0	false	wh_dlc08_vo_culture_skin_wolf_werekin	wh_dlc08_nor_skin_wolf_werekin	0	true	ogr_gorgers		true		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	1	false	false		0.0000	false	1	false
hkrul_olaf_chariot		-1	lord	1	false	hkrul_olaf_chariot	2	0	1300	wh_main_shp_transport	1	1	2	1550	0	heavy		0	false	wh_main_vo_culture_Chaos	lord_chariot	0	true	chaos_warrior_30_degrees	wh3_dlc20_cam_mnt_chs_chariot_khorne	true		1100.0000	0.0000	false	vo_culture_None	true	wh_mod_vo_actor_Chaos_Rafn	0	true	false	0	false	false		0.0000	false	1	false
hkrul_olaf		-1	lord	1	false	hkrul_olaf	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh_main_vo_culture_Chaos	lord_infantry_axe_great	0	true	chaos_warrior_30_degrees		true		800.0000	0.0000	false	vo_culture_None	true	wh_mod_vo_actor_Chaos_Rafn	0	true	false	0	false	false		0.0000	false	1	false
hkrul_tuula_chariot		-1	hero	1	false	hkrul_tuula_chariot	2	0	1300	wh_main_shp_transport	1	1	2	1550	0	heavy		0	false	wh2_main_vo_culture_Dark_Elves	lord_chariot	0	true	chaos_warrior_30_degrees	wh3_dlc20_cam_mnt_chs_chariot_khorne	true		1100.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_Dark_Elves_Death_Hag	0	true	false	0	false	false		0.0000	false	1	false
hkrul_olaf_mammoth		-1	lord	1	false	hkrul_olaf_mammoth	1	0	2300	wh_main_shp_transport	1	1	1	2300	693	heavy		0	false	wh_dlc08_vo_culture_Norsca	nor_mammoth	0	true	chaos_warrior_30_degrees	hkrul_olaf_mammoth	true		2300.0000	0.0000	true	vo_culture_None	true	wh_mod_vo_actor_Chaos_Rafn	0	true	false	0	false	false		0.0000	false	1	false
hkrul_orgrim		-1	hero	1	false	hkrul_orgrim	1	0	1100	wh_main_shp_transport	1	1	1	1100	0	heavy		0	false	wh_dlc08_vo_culture_skin_wolf_werekin	wh_dlc08_nor_skin_wolf_werekin	0	true	wh3_dlc26_kho_scyla_anfingrimm		true		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	1	false	false		0.0000	false	1	false
hkrul_berus		-1	hero	1	false	hkrul_berus	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh3_main_vo_culture_Khorne	hero_infantry_axe	0	true	ogre_tyrant		true		800.0000	0.0000	false	wh3_main_vo_culture_Khorne	true	wh3_dlc20_vo_actor_Khorne_Exalted_Heroes_of_Khorne	0	true	false	0	false	false		0.0000	false	1	false
hkrul_usta		-1	hero	1	false	hkrul_usta	1	0	600	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh3_main_vo_culture_Kislev	hkrul_soren	0	true	emp_general_foot		true		550.0000	0.0000	false	vo_culture_None	true	wh3_dlc24_vo_actor_Kislev_Hag_Witch	0	true	false	0	false	false		0.0000	false	1	false
hkrul_kammler		-1	hero	1	false	hkrul_kammler	1	0	600	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh3_main_vo_culture_Tzeentch	wh3_main_wizard_tzeentch	0	true	emp_general_foot		true		550.0000	0.0000	false	wh3_main_vo_culture_Tzeentch	true	wh3_dlc20_vo_actor_Tzeentch_Sorcerer_of_Tzeentch	0	true	false	0	false	false		0.0000	false	1	false
hkrul_eyri		-1	lord	1	false	hkrul_eyri	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh_dlc08_vo_culture_Norsca	lord_infantry_axe_dual	0	true	chaos_warrior_30_degrees		true		800.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	true	false	0	false	false		0.0000	false	1	false
hkrul_hafskael		-1	hero	1	false	hkrul_hafskael	1	0	1000	wh_main_shp_transport	1	1	1	1150	0	heavy		0	false	wh_main_vo_culture_Chaos	scm_hero_great_hammer	0	true	chaos_warrior_30_degrees		true		800.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	true	false	0	false	false		0.0000	false	1	false
hkrul_hafskael_chariot		-1	hero	1	false	hkrul_hafskael_chariot	2	0	1300	wh_main_shp_transport	1	1	2	1550	0	heavy		0	false	wh_main_vo_culture_Chaos	lord_chariot	0	true	chaos_warrior_30_degrees	wh_dlc08_cam_mnt_nor_marauder_chariot	true		1100.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	true	false	0	false	false		0.0000	false	1	false
