uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/hkrul_nor_surp					
hkrul_olg	hkrul_olg	hkrul_olg	hkrul_olg		
hkrul_tuula	hkrul_tuula	hkrul_tuula	hkrul_tuula		
hkrul_haftagg	hkrul_haftagg	hkrul_haftagg	hkrul_haftagg		
hkrul_olaf	hkrul_olaf	hkrul_olaf	hkrul_olaf		
hkrul_orgrim	hkrul_orgrim	hkrul_orgrim	hkrul_orgrim		
hkrul_berus	hkrul_berus	hkrul_berus	hkrul_berus		
hkrul_usta	hkrul_usta	hkrul_usta	hkrul_usta		
hkrul_kammler	hkrul_kammler	hkrul_kammler	hkrul_kammler		
hkrul_eyri	hkrul_eyri	hkrul_eyri	hkrul_eyri		
hkrul_hafskael	hkrul_hafskael	hkrul_hafskael	hkrul_hafskael		
