uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/scm_norsca					
hkrul_adella	hkrul_adella	hkrul_adella	hkrul_adella		
hkrul_soren	hkrul_soren_campaign	hkrul_soren	hkrul_soren_campaign		
hkrul_akkorak	hkrul_akkorak_campaign	hkrul_akkorak	hkrul_akkorak_campaign		
hkrul_birna	hkrul_birna	hkrul_birna	hkrul_birna		
hkrul_drenok	hkrul_drenok	hkrul_drenok	hkrul_drenok		
hkrul_drenok_rider	hkrul_drenok_rider	hkrul_drenok_rider	hkrul_drenok		
hkrul_einar	hkrul_einar	hkrul_einar	hkrul_einar		
hkrul_einar_rider	hkrul_einar_rider	hkrul_einar_rider	hkrul_einar		
hkrul_harald	hkrul_harald	hkrul_harald	hkrul_harald		
hkrul_sayl	hkrul_sayl	hkrul_sayl	hkrul_sayl		
hkrul_ulfric	hkrul_ulfric	hkrul_ulfric	hkrul_ulfric		
hkrul_verdandi	hkrul_verdandi	hkrul_verdandi	hkrul_verdandi		
hkrul_kolsveinn	hkrul_kolsveinn	hkrul_kolsveinn	hkrul_kolsveinn		
hkrul_swyrd	hkrul_swyrd_camp	hkrul_swyrd_camp	hkrul_swyrd_camp		
hkrul_lokjar	hkrul_lokjar	hkrul_lokjar	hkrul_lokjar		
hkrul_bjornling_ogg	hkrul_bjornling_ogg	hkrul_bjornling_ogg	hkrul_bjornling_ogg		
hkrul_hakka	hkrul_hakka	hkrul_hakka	hkrul_hakka		
hkrul_oda	hkrul_oda	hkrul_oda	hkrul_oda		
hkrul_oda_archer	hkrul_oda_horse_archer	hkrul_oda_horse_archer	hkrul_oda		
hkrul_oda_hr_javelin	hkrul_oda_horse_javelin	hkrul_oda_horse_javelin	hkrul_oda		
hkrul_oda_bc3_javelin	hkrul_oda_manticore_javelin	hkrul_oda_manticore_javelin	hkrul_oda		
hkrul_rafn	hkrul_rafn	hkrul_rafn	hkrul_rafn		
hkrul_hrothgar	hkrul_hrothgar	hkrul_hrothgar	hkrul_hrothgar		
hkrul_sarg	hkrul_sarg	hkrul_sarg	hkrul_sarg		
hkrul_uzul	hkrul_uzul	hkrul_uzul	hkrul_uzul		
hkrul_surtha_ek	hkrul_surtha_ek	hkrul_surtha_ek	hkrul_surtha_ek		
