id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/scm_norsca				
5670500337	names_nor_norsca	family_name	b	0
5670500338	names_nor_norsca	forename	b	0
5670500340	names_nor_norsca	family_name	b	0
5670500341	names_nor_norsca	forename	b	0
3670700350	names_nor_norsca	family_name	b	0
3670700351	names_nor_norsca	forename	b	0
5682700360	names_nor_norsca	family_name	b	0
5682700361	names_nor_norsca	forename	b	0
5680700355	names_nor_norsca	family_name	b	0
5680700356	names_nor_norsca	forename	b	0
5670700355	names_nor_norsca	family_name	b	0
5670700356	names_nor_norsca	forename	b	0
5670700350	names_nor_norsca	family_name	b	0
5670700351	names_nor_norsca	forename	b	0
5670700450	names_nor_norsca	family_name	b	0
5670700451	names_nor_norsca	forename	b	0
5270700350	names_nor_norsca	family_name	b	0
5270700351	names_nor_norsca	forename	b	0
7411711830	names_nor_norsca	family_name	b	0
7411711831	names_nor_norsca	forename	b	0
516997749	names_nor_norsca	family_name	b	0
516997750	names_nor_norsca	forename	b	0
800727191	names_nor_norsca	family_name	b	0
800727192	names_nor_norsca	forename	b	0
3311711830	names_nor_norsca	family_name	b	0
3311711831	names_nor_norsca	forename	b	0
2570700350	names_nor_norsca	family_name	b	0
2570700351	names_nor_norsca	forename	b	0
