id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/hkrul_late_summer				
7610711130	names_nor_norsca	family_name	b	0
7610711131	names_nor_norsca	forename	b	0
7610711233	names_nor_norsca	family_name	b	0
7610711234	names_nor_norsca	forename	b	0
7610711235	names_nor_norsca	family_name	b	0
7610711236	names_nor_norsca	forename	b	0
7610711237	names_nor_norsca	family_name	b	0
7610711238	names_nor_norsca	forename	b	0
1610711833	names_nor_norsca	family_name	b	0
1610711834	names_nor_norsca	forename	b	0
3610733834	names_nor_norsca	forename	b	0
3610733833	names_nor_norsca	family_name	b	0
3650711236	names_nor_norsca	forename	f	0
3650711237	names_nor_norsca	forename	f	0
3650711238	names_nor_norsca	forename	f	0
3650711239	names_nor_norsca	forename	f	0
3650711240	names_nor_norsca	forename	f	0
3650711241	names_nor_norsca	forename	f	0
3650711242	names_nor_norsca	forename	f	0
3650711243	names_nor_norsca	forename	f	0
3650711244	names_nor_norsca	forename	f	0
3650711245	names_nor_norsca	forename	f	0
3650711246	names_nor_norsca	forename	f	0
650711236	names_nor_norsca	family_name	f	0
650711237	names_nor_norsca	family_name	f	0
650711238	names_nor_norsca	family_name	f	0
650711239	names_nor_norsca	family_name	f	0
650711240	names_nor_norsca	family_name	f	0
650711241	names_nor_norsca	family_name	f	0
650711242	names_nor_norsca	family_name	f	0
650711243	names_nor_norsca	family_name	f	0
650711244	names_nor_norsca	family_name	f	0
650711245	names_nor_norsca	family_name	f	0
650711246	names_nor_norsca	family_name	f	0
