key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/hkrul_norsca					
hkrul_skeggi_giant_ror	100.0000	1	hkrul_skeggi_giant_ror	true	0.1000
hkrul_sarl_hunters_ror	100.0000	1	hkrul_sarl_hunters	true	0.1000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mkho	0.0000	20	wh3_dlc20_chs_inf_chosen_mkho	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mkho_dualweapons	0.0000	20	wh3_dlc20_chs_inf_chosen_mkho_dualweapons	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mtze	0.0000	20	wh3_dlc20_chs_inf_chosen_mtze	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mtze_halberds	0.0000	20	wh3_dlc20_chs_inf_chosen_mtze_halberds	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mnur	0.0000	20	wh3_dlc20_chs_inf_chosen_mnur	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_mnur_greatweapons	0.0000	20	wh3_dlc20_chs_inf_chosen_mnur_greatweapons	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_msla	0.0000	20	wh3_dlc20_chs_inf_chosen_msla	false	0.0000
rhox_sayl_wh3_dlc20_chs_inf_chosen_msla_hellscourges	0.0000	20	wh3_dlc20_chs_inf_chosen_msla_hellscourges	false	0.0000
