faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ab_wolftribe	
wh_dlc08_nor_naglfarlings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_dlc17_nor_deadwood_ravagers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_aghol	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_hung_incursion_def	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_hung_incursion_hef	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_hung_incursion_lzd	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_mung	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh2_main_nor_skeggi	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc20_nor_dolgan	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc20_nor_kuj	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc20_nor_kul	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc20_nor_tong	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc20_nor_yusak	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh3_dlc21_nor_wyrmkins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_dlc08_nor_goromadny_tribe	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_dlc08_nor_helspire_tribe	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_dlc08_nor_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_dlc08_nor_vanaheimlings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_dlc08_nor_wintertooth	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_aesling	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_baersonling	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_bjornling	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_graeling	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_norsca_rebels	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_sarl	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_skaeling	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
wh_main_nor_varg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
cr_nor_tokmars	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
rhox_nor_ravenblessed	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
rhox_nor_khazags	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
cr_nor_avags	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
mixer_nor_fjordlings	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
mixer_nur_rotbloods	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
