faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/rhox_beorg	
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
mixer_nor_beorg	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
