effect_key	set_key	effect_scope	value
#ancillary_set_effect_junctions_tables;0;db/ancillary_set_effect_junctions_tables/hkrul_scm_norsca_anc			
wh_main_effect_agent_action_cost_mod	hkrul_norsca_set_1	faction_to_character_own	-15.0000
wh_main_effect_character_stat_ap_damage	hkrul_norsca_set_1	character_to_character_own	20.0000
wh_dlc08_effect_character_stat_enable_frostbite_attacks	hkrul_norsca_set_2	character_to_character_own	1.0000
wh_main_effect_character_stat_speed	hkrul_norsca_set_2	faction_to_character_own	5.0000
wh3_main_effect_allegiance_points_loan_army_mod	hkrul_norsca_set_3	character_to_faction_unseen	-20.0000
wh3_main_effect_attribute_enable_devestating_flanker	hkrul_norsca_set_3	character_to_character_own	1.0000
wh_main_effect_force_stat_missile_damage	hkrul_norsca_set_4	character_to_force_own_factionwide	5.0000
wh_main_effect_public_order_characters	hkrul_norsca_set_4	character_to_province_own_factionwide	2.0000
wh2_main_effect_ability_cooldown_spells	hkrul_norsca_set_5	faction_to_character_own	-5.0000
wh_main_effect_character_stat_miscast	hkrul_norsca_set_5	faction_to_character_own	-5.0000
