key	num_instances
#building_instances_tables;0;db/building_instances_tables/scm_norsca	
rhox_fc_norsca_hafskael_yard	1
rhox_fc_norsca_harald_throne	1
rhox_fc_norsca_kai_delta_swamp	1
rhox_fc_norsca_valmir_aesling	1
rhox_fc_norsca_great_gathering	1
rhox_adella_dae_temple	1
hunting_camp_main	1
hunting_camp_beast_packs	1
hunting_camp_shrine	1
hunting_camp_defence	1
hunting_camp_hunting_parties	1
hunting_camp_thrill	1
wolftribe_greathall	1
wolftribe_humbled_hall	1
rhox_fc_norsca_ruins_of_vinnskor	1
rhox_fc_norsca_sargath_tent	1
rhox_fc_norsca_chaos_iceberg	1
rhox_fc_norsca_corrupted_khemri	1
rhox_bjornling_creatures	1
hkrul_norsca_duel_circle	1
hkrul_norsca_snaegr_hall	1
hkrul_norsca_mermedus_temple	1
hkrul_norsca_erik_tomb	1
hkrul_norsca_barrows	1
