key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/hkrul_late_frost																			
hkrul_mortensen	0	15	265	140	3.0000	axe	axe	large	5	1.0000	1.0000	0.0000	false		0	10	4.0000		false
hkrul_geimdall	0	30	295	150	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	4.0000		false
hkrul_yngve	25	0	130	270	4.0000	spear	halberd	medium	4	1.0000	0.5000	0.0000	false		0	10	4.0000		false
hkrul_yngve_manticore	0	0	300	165	6.0000	axe	creatures_claws	large	4	1.0000	0.7500	0.0000	false		0	3	3.6000		false
hkrul_willi_ziege	0	0	170	350	4.0000	sword	sword_medium	medium	8	1.0000	1.2500	0.0000	true		4	10	3.0000		false
hkrul_boartusk_boss	0	50	200	425	12.0000	axe	creatures_big	large	7	1.0000	1.2500	0.0000	false	wh_dlc06_unit_contact_sundered_armour	5	5	3.5000		false
hkrul_boartusk_mammoth_ror	0	30	165	375	10.0000	axe	creatures_big	large	5	1.0000	1.2500	0.0000	false		5	5	3.5000		false
hkrul_bubos_boss	0	0	193	356	3.0000	axe	creatures_claws	large	5	1.0000	1.2500	0.0000	true	wh_main_unit_contact_poison	0	3	4.0000		false
hkrul_skoroth_boss	0	55	225	655	6.0000	axe	club_huge	large	6	1.0000	1.2500	0.0000	true	wh_main_unit_contact_poison	0	10	4.0000		false
