key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/scm_norsca		
wh3_dlc20_chs_inf_chosen_mkho	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_mkho_dualweapons	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_mtze	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_mtze_halberds	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_mnur	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_mnur_greatweapons	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_msla	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_inf_chosen_msla_hellscourges	wh3_dlc20_nor_dolgan	true
wh3_dlc20_chs_cav_chaos_knights_mkho	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	wh3_dlc20_nor_kul	true
wh3_main_tze_cav_chaos_knights_0	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_mnur	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_msla	wh3_dlc20_nor_kul	true
wh3_dlc20_chs_cav_chaos_knights_msla_lances	wh3_dlc20_nor_kul	true
wh_main_chs_cav_chaos_knights_0	wh3_dlc20_nor_kul	true
wh_main_chs_cav_chaos_knights_1	wh3_dlc20_nor_kul	true
dead_drenok_ice_golem	wh_dlc08_nor_vanaheimlings	true
wh3_main_monster_feral_ice_bears	wh_dlc08_nor_vanaheimlings	true
dead_drenok_ice_bears	wh_dlc08_nor_vanaheimlings	true
dead_drenok_greater_ice_golem	wh_dlc08_nor_vanaheimlings	true
wh3_main_sla_inf_daemonette_0	wh3_dlc20_nor_yusak	true
wh3_main_sla_mon_keeper_of_secrets_0	wh3_dlc20_nor_yusak	true
wh_main_chs_art_hellcannon	wh3_dlc20_nor_yusak	true
wh3_main_sla_veh_seeker_chariot_0	wh3_dlc20_nor_yusak	true
wh3_dlc20_chs_mon_warshrine	wh3_dlc20_nor_yusak	true
wh3_dlc20_chs_mon_warshrine_msla	wh3_dlc20_nor_yusak	true
wh3_main_sla_mon_fiends_of_slaanesh_0	wh3_dlc20_nor_yusak	true
wh3_main_sla_mon_soul_grinder_0	wh3_dlc20_nor_yusak	true
nor_skin_wolf_lord	wh_dlc08_nor_naglfarlings	true
nor_skin_wolf_lord_02	wh_dlc08_nor_naglfarlings	true
nor_skin_wolf_lord_03	wh_dlc08_nor_naglfarlings	true
wolftribe_nor_inf_wolf_champions_ror_0	wh_dlc08_nor_naglfarlings	true
wh3_main_kho_mon_spawn_of_khorne_0	wh_main_nor_varg	true
wh3_main_nur_mon_spawn_of_nurgle_0	wh_main_nor_varg	true
wh3_main_sla_mon_spawn_of_slaanesh_0	wh_main_nor_varg	true
wh3_main_tze_mon_spawn_of_tzeentch_0	wh_main_nor_varg	true
wh_main_chs_mon_chaos_spawn	wh_main_nor_varg	true
rhox_bjornling_maneater	wh_main_nor_bjornling	true
rhox_bjornling_maneater_ironfist	wh_main_nor_bjornling	true
rhox_bjornling_maneater_great_weapon	wh_main_nor_bjornling	true
