pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_sargath				
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t1	-200	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t1	200	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t2	-300	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t2	300	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t3	-600	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t3	600	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t4	-800	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t4	800	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t5	-1000	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t5	1000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t1_sacrifice_requirements	-500	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t1_sacrifice_requirements	-400	absolute	default
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t2_sacrifice_requirement	-300	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t2_sacrifice_requirement	-1000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t3_sacrifice_requirement_high	-600	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t3_sacrifice_requirement_high	-3000	absolute	default
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t3_sacrifice_requirement	-600	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t3_sacrifice_requirement	-2000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t4_sacrifice_requirement	-800	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t4_sacrifice_requirement	-6000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement_low	-1000	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement_low	-8000	absolute	default
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement	-1000	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement	-10000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_upkeep_t1	-20	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices_upkeep	rhox_sarg_initiative_devotee_sla_upkeep_t1	20	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_upkeep_t2	-40	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices_upkeep	rhox_sarg_initiative_devotee_sla_upkeep_t2	40	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_upkeep_t3	-60	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices_upkeep	rhox_sarg_initiative_devotee_sla_upkeep_t3	60	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_upkeep_t4	-80	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices_upkeep	rhox_sarg_initiative_devotee_sla_upkeep_t4	80	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_sla_upkeep_t5	-140	absolute	default
rhox_sarg_devotee_spent_sla_sacrifices_upkeep	rhox_sarg_initiative_devotee_sla_upkeep_t5	140	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t1	-200	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t1	200	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t2_sacrifice_requirement	-300	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t2_sacrifice_requirement	-1000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t2	-300	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t2	300	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement_high	-600	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement_high	-3000	absolute	default
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement	-600	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement	-2000	absolute	secondary
