pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/hkrul_late_summer				
nor_progress_crow_events	hkrul_grydal_ascend	5	absolute	default
nor_progress_eagle_events	hkrul_grydal_ascend	5	absolute	default
nor_progress_hound_events	hkrul_grydal_ascend	5	absolute	default
nor_progress_serpent_events	hkrul_grydal_ascend	5	absolute	default
nor_progress_crow_events	hkrul_goftur_ascend	5	absolute	default
nor_progress_eagle_events	hkrul_goftur_ascend	5	absolute	default
nor_progress_hound_events	hkrul_goftur_ascend	5	absolute	default
nor_progress_serpent_events	hkrul_goftur_ascend	5	absolute	default
wh3_dlc27_nor_spoils_factor_marauding_activities	hkrul_norsca_marauding_bjornling	-100	absolute	default
