special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/hkrul_adella	
hkrul_adella_lore	wh3_main_lore_passive_fires_of_change
hkrul_adella_lore	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
hkrul_adella_lore	wh3_main_spell_tzeentch_glean_magic
hkrul_adella_lore	wh3_main_spell_tzeentch_infernal_gateway
hkrul_adella_lore	wh_main_spell_metal_glittering_robe
hkrul_adella_lore	wh_main_spell_metal_plague_of_rust
hkrul_adella_lore	wh_main_spell_metal_searing_doom
hkrul_soren_lore	wh2_main_lore_passive_spiteful_conjuration
hkrul_soren_lore	wh2_main_spell_dark_magic_doombolt
hkrul_soren_lore	wh2_main_spell_dark_magic_chillwind
hkrul_soren_lore	wh2_main_spell_dark_magic_power_of_darkness
hkrul_soren_lore	wh_dlc03_spell_beasts_panns_impenetrable_pelt
hkrul_soren_lore	wh_dlc03_spell_beasts_flock_of_doom
hkrul_soren_lore	wh_dlc03_spell_beasts_transformation_of_kadon
