special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/hkrul_sayl	
hkrul_sayl_lore	wh_main_spell_heavens_comet_of_casandora
hkrul_sayl_lore	wh_main_spell_heavens_harmonic_convergence
hkrul_sayl_lore	wh_main_spell_heavens_urannons_thunderbolt
hkrul_sayl_lore	wh_main_lore_passive_roiling_skies
hkrul_sayl_lore	wh_dlc05_lore_passive_smoke_and_mirrors
hkrul_sayl_lore	wh_dlc05_spell_shadow_pit_of_shades
hkrul_sayl_lore	wh_dlc05_spell_shadow_the_penumbral_pendulum
hkrul_sayl_lore	wh_dlc05_spell_shadow_the_withering
hkrul_yngve_lore	wh_dlc05_lore_passive_life_bloom
hkrul_yngve_lore	wh_dlc05_spell_life_the_dwellers_below
hkrul_yngve_lore	wh_dlc05_spell_life_earth_blood
hkrul_yngve_lore	wh_dlc05_spell_life_awakening_of_the_wood
hkrul_yngve_lore	wh2_dlc15_spell_beasts_transformation_of_kadon
hkrul_yngve_lore	wh_dlc03_spell_beasts_flock_of_doom
hkrul_yngve_lore	wh_dlc03_spell_beasts_panns_impenetrable_pelt
hkrul_yngve_lore	wh_dlc03_lore_passive_wild_heart
