bonus_value_id	effect	initiative_set
#effect_bonus_value_initiative_set_junctions_tables;0;db/effect_bonus_value_initiative_set_junctions_tables/rhox_fc_norsca		
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	rhox_sarg_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_und	rhox_sarg_faction_initiative_set_chs_undivided
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	rhox_sarg_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	rhox_sarg_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla_HIDDEN	rhox_sarg_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla	rhox_sarg_faction_initiative_set_chs_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	rhox_sarg_faction_initiative_set_chs_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_slaanesh_gifts	rhox_sarg_faction_initiative_set_chs_slaanesh
percentage_cost_upkeep_mod	wh3_dlc20_effect_initiative_upkeep_reduction_slaanesh_gifts_hidden	rhox_sarg_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	rhox_sarg_faction_initiative_set_chs_slaanesh
